"DO NOT MODIFY OR REMOVE - Component ID","English (United States)","French (France)","Spanish (Spain)","Arabic (Saudi Arabia)","Turkish (Turkey)","Portuguese (Brazil)","German (Germany)","Hindi (India)","Russian (Russia)"
"iuFGR2yPjh","Get Replyer Pro","Obtenir Replyer Pro","Obtener Replyer Pro","احصل على Replyer Pro","Replyer Pro'yu Edin","Obter Replyer Pro","Replyer Pro holen","Replyer Pro पाएं","Получить Replyer Pro"
"tZ34z5szEZ","Our most advanced features, for our most dedicated users.","Nos fonctionnalités les plus avancées, pour nos utilisateurs les plus dévoués.","Nuestras funciones más avanzadas, para nuestros usuarios más dedicados.","ميزاتنا الأكثر تقدمًا، لمستخدمينا الأكثر تفانيًا.","En gelişmiş özelliklerimiz, en sadık kullanıcılarımız için.","Nossos recursos mais avançados, para nossos usuários mais dedicados.","Unsere fortschrittlichsten Funktionen, für unsere engagiertesten Nutzer.","हमारे सबसे उन्नत फीचर्स, हमारे सबसे समर्पित उपयोगकर्ताओं के लिए।","Наши самые продвинутые функции для самых преданных пользователей."
"J2crP5pQqO","Our most advanced features, for our most dedicated users.","Nos fonctionnalités les plus avancées, pour nos utilisateurs les plus dévoués.","Nuestras funciones más avanzadas, para nuestros usuarios más dedicados.","ميزاتنا الأكثر تقدمًا، لمستخدمينا الأكثر تفانيًا.","En gelişmiş özelliklerimiz, en sadık kullanıcılarımız için.","Nossos recursos mais avançados, para nossos usuários mais dedicados.","Unsere fortschrittlichsten Funktionen, für unsere engagiertesten Nutzer.","हमारे सबसे उन्नत फीचर्स, हमारे सबसे समर्पित उपयोगकर्ताओं के लिए।","Наши самые продвинутые функции для самых преданных пользователей."
"pdF3swOZOC","**Unlimited Generations**","**Générations illimitées**","**Generaciones ilimitadas**","**توليد غير محدود**","**Sınırsız Üretim**","**Gerações ilimitadas**","**Unbegrenzte Generierungen**","**असीमित जनरेशन**","**Неограниченные генерации**"
"1rbBizXZ6a","No daily limits","Pas de limites quotidiennes","Sin límites diarios","بدون حدود يومية","Günlük sınır yok","Sem limites diários","Keine täglichen Limits","कोई दैनिक सीमा नहीं","Без дневных лимитов"
"Tb96zGkKSL","**Message Decoder**","**Décodeur de messages**","**Decodificador de mensajes**","**فك تشفير الرسائل**","**Mesaj Çözücü**","**Decodificador de mensagens**","**Nachrichten-Entschlüsseler**","**मैसेज डिकोडर**","**Дешифратор сообщений**"
"alkrIMXbE9","Analyze hidden meanings & emotions","Analysez les significations cachées et les émotions","Analiza significados ocultos y emociones","حلل المعاني الخفية والمشاعر","Gizli anlamları ve duyguları analiz et","Analise significados ocultos e emoções","Analysiere versteckte Bedeutungen & Emotionen","छिपे अर्थों और भावनाओं का विश्लेषण करें","Анализируйте скрытые смыслы и эмоции"
"wNFWVHWeDA","**Personalized Contacts**","**Contacts personnalisés**","**Contactos personalizados**","**جهات اتصال مخصصة**","**Kişiselleştirilmiş Kişiler**","**Contatos personalizados**","**Personalisierte Kontakte**","**व्यक्तिगत संपर्क**","**Персонализированные контакты**"
"2V3GETNpev","Train AI to match your contacts style","Entraînez l'IA pour correspondre au style de vos contacts","Entrena la IA para que coincida con el estilo de tus contactos","درّب الذكاء الاصطناعي ليتناسب مع أسلوب جهات اتصالك","Yapay zekayı kişilerinizin tarzına göre eğitin","Treine a IA para combinar com o estilo dos seus contatos","Trainiere die KI, um zum Stil deiner Kontakte zu passen","AI को अपने संपर्कों की शैली से मिलान करने के लिए प्रशिक्षित करें","Обучите ИИ соответствовать стилю ваших контактов"
"4k0DT8hDjb","**My Style**","**Mon style**","**Mi estilo**","**أسلوبي**","**Benim Tarzım**","**Meu estilo**","**Mein Stil**","**मेरी शैली**","**Мой стиль**"
"NPUSkqLXO9","Train AI to match your writing style","Entraînez l'IA pour correspondre à votre style d'écriture","Entrena la IA para que coincida con tu estilo de escritura","درّب الذكاء الاصطناعي ليتناسب مع أسلوب كتابتك","Yapay zekayı yazım tarzınıza göre eğitin","Treine a IA para combinar com seu estilo de escrita","Trainiere die KI, um deinen Schreibstil zu übernehmen","AI को अपनी लेखन शैली से मिलान करने के लिए प्रशिक्षित करें","Обучите ИИ вашему стилю письма"
"zVW9cz8zHC","**More Context**","**Plus de contexte**","**Más contexto**","**مزيد من السياق**","**Daha Fazla Bağlam**","**Mais contexto**","**Mehr Kontext**","**अधिक संदर्भ**","**Больше контекста**"
"goGCYZSaV4","Add Multiple screenshots for better context","Ajoutez plusieurs captures d'écran pour un meilleur contexte","Añade múltiples capturas para mejor contexto","أضف لقطات شاشة متعددة لسياق أفضل","Daha iyi bağlam için birden fazla ekran görüntüsü ekleyin","Adicione várias capturas de tela para melhor contexto","Mehrere Screenshots für besseren Kontext hinzufügen","बेहतर संदर्भ के लिए कई स्क्रीनशॉट जोड़ें","Добавьте несколько скриншотов для лучшего контекста"
"5-cMAYlyz8","{{ product.relative_discount }} OFF","{{ product.relative_discount }} DE RÉDUCTION","{{ product.relative_discount }} DE DESCUENTO","خصم {{ product.relative_discount }}","{{ product.relative_discount }} İNDİRİM","{{ product.relative_discount }} DE DESCONTO","{{ product.relative_discount }} RABATT","{{ product.relative_discount }} की छूट","СКИДКА {{ product.relative_discount }}"
"8zj3qBRQrX","Yearly","Annuel","Anual","سنوي","Yıllık","Anual","Jährlich","वार्षिक","Ежегодно"
"x4PDxteoED","{{ product.price_per_month }}/mo","{{ product.price_per_month }}/mois","{{ product.price_per_month }}/mes","{{ product.price_per_month }}/شهر","{{ product.price_per_month }}/ay","{{ product.price_per_month }}/mês","{{ product.price_per_month }}/Mo.","{{ product.price_per_month }}/माह","{{ product.price_per_month }}/мес."
"rM0PH_FQw4","Billed at {{ product.price_per_period_abbreviated }}.","Facturé {{ product.price_per_period_abbreviated }}.","Facturado a {{ product.price_per_period_abbreviated }}.","تُحصّل {{ product.price_per_period_abbreviated }}.","{{ product.price_per_period_abbreviated }} olarak faturalandırılır.","Cobrado em {{ product.price_per_period_abbreviated }}.","Abgerechnet mit {{ product.price_per_period_abbreviated }}.","{{ product.price_per_period_abbreviated }} पर बिल किया जाता है।","Оплата {{ product.price_per_period_abbreviated }}."
"nPoBLOOKKc","Billed at {{ product.price_per_period_abbreviated }} after free trial.","Facturé {{ product.price_per_period_abbreviated }} après l'essai gratuit.","Facturado a {{ product.price_per_period_abbreviated }} después del período de prueba.","تُحصّل {{ product.price_per_period_abbreviated }} بعد الفترة التجريبية المجانية.","Ücretsiz deneme sonrası {{ product.price_per_period_abbreviated }} olarak faturalandırılır.","Cobrado em {{ product.price_per_period_abbreviated }} após o período de teste.","Nach der kostenlosen Testphase {{ product.price_per_period_abbreviated }}.","मुफ्त ट्रायल के बाद {{ product.price_per_period_abbreviated }} पर बिल।","{{ product.price_per_period_abbreviated }} после бесплатного периода."
"hmS8R9Jw92","Monthly","Mensuel","Mensual","شهري","Aylık","Mensal","Monatlich","मासिक","Ежемесячно"
"qINkEZb-Wo","{{ product.price_per_period_abbreviated }}","{{ product.price_per_period_abbreviated }}","{{ product.price_per_period_abbreviated }}","{{ product.price_per_period_abbreviated }}","{{ product.price_per_period_abbreviated }}","{{ product.price_per_period_abbreviated }}","{{ product.price_per_period_abbreviated }}","{{ product.price_per_period_abbreviated }}","{{ product.price_per_period_abbreviated }}"
"H-ro-nGg8k","Billed at {{ product.price_per_period_abbreviated }}.","Facturé {{ product.price_per_period_abbreviated }}.","Facturado a {{ product.price_per_period_abbreviated }}.","تُحصّل {{ product.price_per_period_abbreviated }}.","{{ product.price_per_period_abbreviated }} olarak faturalandırılır.","Cobrado em {{ product.price_per_period_abbreviated }}.","Abgerechnet mit {{ product.price_per_period_abbreviated }}.","{{ product.price_per_period_abbreviated }} पर बिल किया जाता है।","Оплата {{ product.price_per_period_abbreviated }}."
"9ygfTEQ4mo","Billed at {{ product.price_per_period_abbreviated }} after free trial.","Facturé {{ product.price_per_period_abbreviated }} après l'essai gratuit.","Facturado a {{ product.price_per_period_abbreviated }} después del período de prueba.","تُحصّل {{ product.price_per_period_abbreviated }} بعد الفترة التجريبية المجانية.","Ücretsiz deneme sonrası {{ product.price_per_period_abbreviated }} olarak faturalandırılır.","Cobrado em {{ product.price_per_period_abbreviated }} após o período de teste.","Nach der kostenlosen Testphase {{ product.price_per_period_abbreviated }}.","मुफ्त ट्रायल के बाद {{ product.price_per_period_abbreviated }} पर बिल।","{{ product.price_per_period_abbreviated }} после бесплатного периода."
"FB8Ij4dWgS","Continue","Continuer","Continuar","متابعة","Devam Et","Continuar","Weiter","जारी रखें","Продолжить"
"t38p5wJ_Z7","Get started for free","Commencez gratuitement","Empieza gratis","ابدأ مجانًا","Ücretsiz başla","Comece gratuitamente","Kostenlos starten","मुफ्त में शुरू करें","Начните бесплатно"
"OBIvM9QN7X","Restore Purchases","Restaurer les achats","Restaurar compras","استعادة المشتريات","Satın Alımları Geri Yükle","Restaurar compras","Käufe wiederherstellen","खरीदारी पुनर्स्थापित करें","Восстановить покупки"
"VFL_T8xgne","https://github.com/replyerapp/replyerAI/blob/main/TERMS_OF_USE.md","https://github.com/replyerapp/replyerAI/blob/main/TERMS_OF_USE.md","https://github.com/replyerapp/replyerAI/blob/main/TERMS_OF_USE.md","https://github.com/replyerapp/replyerAI/blob/main/TERMS_OF_USE.md","https://github.com/replyerapp/replyerAI/blob/main/TERMS_OF_USE.md","https://github.com/replyerapp/replyerAI/blob/main/TERMS_OF_USE.md","https://github.com/replyerapp/replyerAI/blob/main/TERMS_OF_USE.md","https://github.com/replyerapp/replyerAI/blob/main/TERMS_OF_USE.md","https://github.com/replyerapp/replyerAI/blob/main/TERMS_OF_USE.md"
"m0yKeN7Ke1","Terms","Conditions","Términos","الشروط","Şartlar","Termos","AGB","शर्तें","Условия"
"0B1RuOuUwn","https://github.com/replyerapp/replyerAI/blob/main/PRIVACY_POLICY.md","https://github.com/replyerapp/replyerAI/blob/main/PRIVACY_POLICY.md","https://github.com/replyerapp/replyerAI/blob/main/PRIVACY_POLICY.md","https://github.com/replyerapp/replyerAI/blob/main/PRIVACY_POLICY.md","https://github.com/replyerapp/replyerAI/blob/main/PRIVACY_POLICY.md","https://github.com/replyerapp/replyerAI/blob/main/PRIVACY_POLICY.md","https://github.com/replyerapp/replyerAI/blob/main/PRIVACY_POLICY.md","https://github.com/replyerapp/replyerAI/blob/main/PRIVACY_POLICY.md","https://github.com/replyerapp/replyerAI/blob/main/PRIVACY_POLICY.md"
"bhxDjTfrJ4","Privacy","Confidentialité","Privacidad","الخصوصية","Gizlilik","Privacidade","Datenschutz","गोपनीयता","Конфиденциальность"

